fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2023-12-31,xochimilco,CDMX,0.04606222339,2829452.9,135661.7740010995,2023,492,210300.01095890414,427.4390466644392,154.8337515748736,1052.9068493150687,218.29863013698628,300.5191780821918,392.19726027397274,521.1671232876711,2023
2012-03-31,benito juarez,CDMX,0.04332147918,2633934.6,110137.05320156479,2012,106,44495.49315068492,419.7688033083485,81.39330116007008,678.9506849315067,293.56438356164387,361.98630136986304,406.60684931506853,463.0972602739726,2012
2012-06-30,benito juarez,CDMX,0.04332147918,2438708.1,110712.86443271517,2012,106,44495.49315068492,419.7688033083485,81.39330116007008,678.9506849315067,293.56438356164387,361.98630136986304,406.60684931506853,463.0972602739726,2012
2012-09-30,benito juarez,CDMX,0.04332147918,2592835.4,111375.63107839416,2012,106,43860.178082191786,413.77526492633774,79.0682014396841,666.1041095890412,290.4273972602739,357.6335616438356,401.31369863013697,456.20342465753424,2012
2012-12-31,benito juarez,CDMX,0.04332147918,2598596.7,111811.02494059691,2012,106,40806.967123287664,384.971387955544,70.05165132621909,608.2904109589042,274.4109589041096,335.1691780821917,374.16712328767136,423.04109589041093,2012
2013-03-31,benito juarez,CDMX,0.04332147918,2673066.3,112443.9252170107,2013,106,40573.569863013705,382.7695270095632,68.37374229039648,597.5698630136986,274.4712328767124,333.8739726027397,372.33150684931496,420.17054794520544,2013
2013-06-30,benito juarez,CDMX,0.04332147918,2479978.8,113006.64198956045,2013,106,42348.52602739726,399.5143964848798,73.3168723584184,631.1178082191782,283.86575342465756,347.1,389.2068493150685,440.0602739726027,2013
2013-09-30,benito juarez,CDMX,0.04332147918,2668439.8,113568.71597966287,2013,106,41574.06575342466,392.20816748513835,74.93731319341545,635.9671232876714,276.150684931507,339.30479452054794,382.9191780821917,432.5712328767123,2013
2013-12-31,benito juarez,CDMX,0.04332147918,2626906.9,114102.15068139789,2013,106,39157.05205479452,369.40615146032576,70.41962199040124,592.2876712328767,257.8301369863014,319.55890410958904,361.5630136986302,408.0965753424657,2013
2014-06-30,benito juarez,CDMX,0.04332147918,2503000.3,114634.71299684592,2014,106,42451.08219178082,400.48190746963047,77.49770764219201,643.2904109589041,275.50136986301385,346.31506849315065,391.95479452054803,442.29657534246576,2014
2014-09-30,benito juarez,CDMX,0.04332147918,2686402.8,115504.60559118785,2014,106,43715.83287671233,412.41351770483334,74.7553018124196,634.7369863013698,283.0657534246575,360.3499999999999,405.11095890410957,454.07671232876714,2014
2014-12-31,benito juarez,CDMX,0.04332147918,2666305.5,116617.26688118812,2014,106,43531.07123287671,410.6704833290256,67.88404573043027,599.7698630136986,285.44383561643843,362.96164383561637,404.1931506849315,450.263698630137,2014
2015-03-31,benito juarez,CDMX,0.04332147918,2869792.9,117426.5722208229,2015,106,47235.4191780822,445.6171620573792,71.01413070359592,644.8328767123288,313.4547945205479,395.7280821917808,438.44246575342464,487.01164383561644,2015
